dose	dose_unit	time	time_unit	pc	IRS_per_vol	nad	nadh	nadh_nad	nadh_ratio	atp	fbp_dhap_grap	g6p	adp	atp_adp	atp_ratio	dhap	lac	pyr	pg3	f26bp	pep	pg2	f6p	fbp	grap	phos	unit	measurement	species	study	experiment
9.0	mM 	7.9	min	3.0	0.009182765249950632																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.000000000000002	min	3.0	0.009133747956221436																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.1	min	3.0	0.009029562178961734																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.200000000000001	min	3.0	0.008872130164984433																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.299999999999999	min	3.0	0.008867901221996034																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.4	min	3.0	0.008789089102666738																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.500000000000002	min	3.0	0.008719119318676827																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.6	min	3.0	0.008637808278490748																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.700000000000001	min	3.0	0.008607244554165486																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.799999999999999	min	3.0	0.00856841516854471																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	8.9	min	3.0	0.008483451859413257																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.000000000000002	min	3.0	0.008474993973437303																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.1	min	3.0	0.008475762872162467																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.2	min	3.0	0.008467304986185665																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.3	min	3.0	0.008404063066040938																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.4	min	3.0	0.008406177537535139																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.500000000000002	min	3.0	0.008443469125705585																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.6	min	3.0	0.008480760713876032																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.7	min	3.0	0.00847441729939258																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.8	min	3.0	0.008475570647481176																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	9.9	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.000000000000002	min	3.0	0.008473840625349557																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.1	min	3.0	0.008489603049215417																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.2	min	3.0	0.008543233735295596																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.3	min	3.0	0.00857033741535762																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.4	min	3.0	0.008612819069922924																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.500000000000002	min	3.0	0.008605706756714309																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.6	min	3.0	0.008607052329484196																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.7	min	3.0	0.008606860104802905																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.8	min	3.0	0.008606860104802905																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	10.9	min	3.0	0.008606667880121613																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.000000000000002	min	3.0	0.008607436778846777																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.1	min	3.0	0.008603592285220956																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.2	min	3.0	0.008620700281855855																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.3	min	3.0	0.00851420780842066																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.4	min	3.0	0.008469803907042448																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.500000000000002	min	3.0	0.008475955096843757																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.6	min	3.0	0.008475570647481176																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.7	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.8	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	11.9	min	3.0	0.008475570647481176																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.000000000000002	min	3.0	0.00847441729939258																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.1	min	3.0	0.008479222916425704																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.2	min	3.0	0.008463076043197263																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.3	min	3.0	0.00859398105115556																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.4	min	3.0	0.008607052329484196																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.500000000000002	min	3.0	0.008618970259724235																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.6	min	3.0	0.008750259717045964																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.7	min	3.0	0.008735842865949141																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.8	min	3.0	0.008732767271048485																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	12.9	min	3.0	0.008778132295833152																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.000000000000002	min	3.0	0.008808503795477124																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.1	min	3.0	0.008801968156312385																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.2	min	3.0	0.00880562042525776																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.3	min	3.0	0.00873545841658656																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.4	min	3.0	0.00873968735957496																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.500000000000002	min	3.0	0.008737957337443342																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.6	min	3.0	0.008737572888080759																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.7	min	3.0	0.00874180183106916																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.8	min	3.0	0.008724693834434265																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	13.9	min	3.0	0.008846564282372736																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.000000000000002	min	3.0	0.008873475737753472																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.1	min	3.0	0.008873091288390889																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.2	min	3.0	0.009008994138063602																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.3	min	3.0	0.009010531935513927																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.4	min	3.0	0.009095303019963244																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.500000000000002	min	3.0	0.009165849477997028																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.6	min	3.0	0.00924004820497449																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.7	min	3.0	0.009313670257909778																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.8	min	3.0	0.009386907861481634																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	14.9	min	3.0	0.009460722139097367																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.000000000000002	min	3.0	0.009540495381833115																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.1	min	3.0	0.009676206006824535																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.2	min	3.0	0.009768473853844198																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.3	min	3.0	0.009887076482200722																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.4	min	3.0	0.009999335696074646																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.500000000000002	min	3.0	0.010101022552477567																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.6	min	3.0	0.01017964244712557																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.7	min	3.0	0.01017983467180686																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.8	min	3.0	0.010313623049985373																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	15.9	min	3.0	0.010170800111786187																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.0	min	3.0	0.010177335750950079																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.1	min	3.0	0.010060270920043881																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.200000000000003	min	3.0	0.009926674766546661																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.299999999999997	min	3.0	0.009674283760011625																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.4	min	3.0	0.009480905730632917																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.5	min	3.0	0.009343465083509878																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.6	min	3.0	0.009124905620882051																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.700000000000003	min	3.0	0.00890903730379145																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.799999999999997	min	3.0	0.008786782406491247																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	16.9	min	3.0	0.00868394220200058																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.0	min	3.0	0.00859590329796932																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.1	min	3.0	0.008605706756714309																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.200000000000003	min	3.0	0.008618585810361654																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.299999999999997	min	3.0	0.008489026375171543																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.4	min	3.0	0.008475186198118594																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.5	min	3.0	0.00854438708338334																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.6	min	3.0	0.008539965915713647																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.700000000000003	min	3.0	0.008540158140394941																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.799999999999997	min	3.0	0.008547462678283995																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	17.9	min	3.0	0.008500944305410733																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.0	min	3.0	0.008471341704492773																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.1	min	3.0	0.008476147321525048																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.200000000000003	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.3	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.4	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.5	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.6	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.700000000000003	min	3.0	0.008475378422799036																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.8	min	3.0	0.008475570647481176																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	18.9	min	3.0	0.008475186198118594																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.0	min	3.0	0.008475955096843757																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.1	min	3.0	0.00847633954620634																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.200000000000003	min	3.0	0.008459423774252734																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.3	min	3.0	0.00833082546246908																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.4	min	3.0	0.008347933459103977																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.5	min	3.0	0.008343127842071703																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.6	min	3.0	0.008344281190159447																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.700000000000003	min	3.0	0.008343896740796865																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.8	min	3.0	0.008344281190159447																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	19.9	min	3.0	0.008344088965477307																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.0	min	3.0	0.008341013370576652																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.1	min	3.0	0.008371000420858891																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.200000000000003	min	3.0	0.008486143004951329																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.3	min	3.0	0.008495369789654145																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.4	min	3.0	0.008591866579662209																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.5	min	3.0	0.008595326623925446																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.6	min	3.0	0.008723348261665228																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
9.0	mM 	20.700000000000003	min	3.0	0.008735842865949141																						mM/min 	rate	human	Alcazar2019_Etc2	Experiment10
																															
9.0	mM 	0.0	min	3.0	0.004999181157791901																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.0999999999999996	min	3.0	0.005456968165397392																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.200000000000001	min	3.0	0.00465421503717379																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.3000000000000007	min	3.0	0.00482698085659873																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.4000000000000003	min	3.0	0.005003139785405537																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.5	min	3.0	0.0045281044717692025																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.5999999999999996	min	3.0	0.004390966300866988																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.7000000000000011	min	3.0	0.0044769250719071925																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.8000000000000007	min	3.0	0.005236981573725328																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	0.9000000000000004	min	3.0	0.004872222315040285																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.0	min	3.0	0.0044675940211036215																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.0999999999999996	min	3.0	0.0055222855210223885																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.200000000000001	min	3.0	0.004330173091087397																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.3000000000000007	min	3.0	0.00425552468465883																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.4000000000000004	min	3.0	0.003978137992589042																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.5	min	3.0	0.0038740826381734633																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.5999999999999996	min	3.0	0.003900096476777358																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.700000000000001	min	3.0	0.0038599446824104777																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.8000000000000007	min	3.0	0.004228379809593896																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	1.9000000000000004	min	3.0	0.00486798092831139																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.0	min	3.0	0.006147183165746376																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.1	min	3.0	0.00737690255801091																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.200000000000001	min	3.0	0.009257533433603327																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.3000000000000007	min	3.0	0.010952957088700626																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.4000000000000004	min	3.0	0.013335768152994311																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.5	min	3.0	0.015580027250810731																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.6	min	3.0	0.017738893095818716																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.700000000000001	min	3.0	0.019914441728627025																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.8000000000000007	min	3.0	0.02209112139789637																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	2.9000000000000004	min	3.0	0.024475346257766355																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.0	min	3.0	0.0269559919759399																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.1	min	3.0	0.029799983157222196																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.200000000000001	min	3.0	0.03273219518246552																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.3000000000000007	min	3.0	0.0356644072077076																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.4000000000000004	min	3.0	0.0384637224487801																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.5	min	3.0	0.041302623965987724																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.6	min	3.0	0.04373435235722134																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.700000000000001	min	3.0	0.04526407917077519																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.8000000000000007	min	3.0	0.04665525401785428																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	3.9	min	3.0	0.046810771531247124																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.0	min	3.0	0.04600773564390952																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.1	min	3.0	0.04446669846574402																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.200000000000001	min	3.0	0.04225834977556559																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.300000000000001	min	3.0	0.039159309872319026																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.4	min	3.0	0.03976158678782223																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.5	min	3.0	0.039190413374997596																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.6	min	3.0	0.02899977486103718																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.700000000000001	min	3.0	0.02650131531860227																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.800000000000001	min	3.0	0.024882519383740354																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	4.9	min	3.0	0.022943640130404435																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.0	min	3.0	0.019515468616995556																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.1	min	3.0	0.017986590080786236																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.200000000000001	min	3.0	0.01631944233721366																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.300000000000001	min	3.0	0.014804418997653312																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.4	min	3.0	0.013689782565299484																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.5	min	3.0	0.012238662785786586																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.6	min	3.0	0.011374833688668132																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.700000000000001	min	3.0	0.010304873196525342																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.800000000000001	min	3.0	0.009605327145372787																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	5.9	min	3.0	0.008791263652540045																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.000000000000002	min	3.0	0.008218110925908587																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.1	min	3.0	0.007987945006087172																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.200000000000001	min	3.0	0.007771634282912235																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.299999999999999	min	3.0	0.007572854624885899																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.4	min	3.0	0.007585578785072587																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.500000000000002	min	3.0	0.007590102930916742																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.6	min	3.0	0.007545709749820965																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.700000000000001	min	3.0	0.007823661960121273																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.799999999999999	min	3.0	0.008009151939731651																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	6.9	min	3.0	0.007812634354626143																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.000000000000002	min	3.0	0.007587275339764145																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.1	min	3.0	0.007584730507726806																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.200000000000001	min	3.0	0.00758218567568947																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.299999999999999	min	3.0	0.007583316712150508																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.4	min	3.0	0.007583033953035249																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.500000000000002	min	3.0	0.007583033953035249																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.6	min	3.0	0.007583316712150508																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.700000000000001	min	3.0	0.007582468434804729																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.799999999999999	min	3.0	0.007584730507726806																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	7.9	min	3.0	0.007583882230381028																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.000000000000002	min	3.0	0.007545426990705706																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.1	min	3.0	0.007156350448108326																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.200000000000001	min	3.0	0.007207529847970336																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.299999999999999	min	3.0	0.007181233250249933																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.4	min	3.0	0.007236654036840839																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.500000000000002	min	3.0	0.006904977594642434																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.6	min	3.0	0.006792439466769064																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.700000000000001	min	3.0	0.006805163626955751																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.799999999999999	min	3.0	0.006799508444650556																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	8.9	min	3.0	0.006567080451907064																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.000000000000002	min	3.0	0.006401949128595386																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.1	min	3.0	0.006420611230202528																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.2	min	3.0	0.006415521566127853																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.3	min	3.0	0.006416652602588891																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.4	min	3.0	0.006416087084357123																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.500000000000002	min	3.0	0.006417218120819411																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.6	min	3.0	0.006416369843473632																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.7	min	3.0	0.006401383610364866																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
9.0	mM 	9.8	min	3.0	0.006194403937994749																						mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment11
