dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap	fbp_dhap_grap	g6p	glc	grap	ins_ext	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
11.0130909275061	mM										0.0425004494366894																mM	concentration	all	mean	Experiment9
16.0298449514259	mM										0.06912521124140879																mM	concentration	all	mean	Experiment9
25.3342786485368	mM										0.09448060392130081																mM	concentration	all	mean	Experiment9
30.1867841558419	mM										0.08105510794953331																mM	concentration	all	mean	Experiment9
																															
2.4	mM											0.013886314483821762															mM	concentration	all	mean	Experiment10
2.78	mM											0.016618746080970224															mM	concentration	all	mean	Experiment10
4.0	mM											0.024581806352109048															mM	concentration	all	mean	Experiment10
8.6	mM											0.04504686824623721															mM	concentration	all	mean	Experiment10
14.5	mM											0.05592241044074963															mM	concentration	all	mean	Experiment10
16.0	mM											0.05717077424035466															mM	concentration	all	mean	Experiment10
18.87	mM											0.0590427571289705															mM	concentration	all	mean	Experiment10
																															
0.0	mM												0.06833502755658659														mM	concentration	all	mean	Experiment11
1.08	mM												0.08441652734533703														mM	concentration	all	mean	Experiment11
1.46	mM												0.0899442388357321														mM	concentration	all	mean	Experiment11
2.0	mM												0.09768137027824803														mM	concentration	all	mean	Experiment11
2.26	mM												0.10135696513165886														mM	concentration	all	mean	Experiment11
2.4	mM												0.10332269526694658														mM	concentration	all	mean	Experiment11
2.78	mM												0.10861066743253604														mM	concentration	all	mean	Experiment11
2.8	mM												0.1088870506327045														mM	concentration	all	mean	Experiment11
3.07	mM												0.11259926508228743														mM	concentration	all	mean	Experiment11
3.96266362280685	mM												0.12461979322533848														mM	concentration	all	mean	Experiment11
4.0	mM												0.12511406283063764														mM	concentration	all	mean	Experiment11
4.09	mM												0.12630269059744162														mM	concentration	all	mean	Experiment11
4.85	mM												0.13618051872526535														mM	concentration	all	mean	Experiment11
5.28	mM												0.1416422479410877														mM	concentration	all	mean	Experiment11
5.5	mM												0.14440089537108333														mM	concentration	all	mean	Experiment11
5.53123331553656	mM												0.1447905732139997														mM	concentration	all	mean	Experiment11
5.55	mM												0.1450244775692525														mM	concentration	all	mean	Experiment11
5.6	mM												0.14564680499241742														mM	concentration	all	mean	Experiment11
6.47384796656663	mM												0.15631973211733075														mM	concentration	all	mean	Experiment11
6.79	mM												0.1600857885593966														mM	concentration	all	mean	Experiment11
7.39	mM												0.16709271424152095														mM	concentration	all	mean	Experiment11
8.3	mM												0.17736621011770295														mM	concentration	all	mean	Experiment11
8.6	mM												0.18065892078935056														mM	concentration	all	mean	Experiment11
9.66	mM												0.19191562830553227														mM	concentration	all	mean	Experiment11
10.9115010033691	mM												0.20444005360765186														mM	concentration	all	mean	Experiment11
11.1	mM												0.20625384475357106														mM	concentration	all	mean	Experiment11
11.38	mM												0.20891274174773736														mM	concentration	all	mean	Experiment11
13.54	mM												0.22798897987355596														mM	concentration	all	mean	Experiment11
14.5	mM												0.23564041073744296														mM	concentration	all	mean	Experiment11
15.9132499953973	mM												0.24596162860410292														mM	concentration	all	mean	Experiment11
16.0	mM												0.24655825140225157														mM	concentration	all	mean	Experiment11
16.01	mM												0.24662675018356556														mM	concentration	all	mean	Experiment11
