dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap_grap	g6p	glc	grap	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
10.0	mM 			5.693488996245346																					mM 	concentration	mouse	Detimary1996_Etc36	Experiment91
																													
10.0	mM 			5.534263935277087																					mM 	concentration	mouse	Detimary1996_Etc37	Experiment92
																													
2.8	mM 			3.9148757841754667																					mM 	concentration	rat	Taniguchi2000_Etc73	Experiment93
																													
2.8	mM 			4.7015244028394125																					mM 	concentration	rat	Taniguchi2000_Etc74	Experiment94
20.0	mM 			5.414488046188452																					mM 	concentration	rat	Taniguchi2000_Etc74	Experiment94
																													
2.4	mM 			3.817129389767745																					mM 	concentration	rat	Trus1980_Etc107	Experiment95
																													
2.4	mM 			4.529229931234088																					mM 	concentration	rat	Trus1980_Etc108	Experiment96
14.5	mM 			4.969011298522066																					mM 	concentration	rat	Trus1980_Etc108	Experiment96
																													
2.4	mM 			3.817129389767745																					mM 	concentration	rat	Trus1980_Etc123	Experiment97
																													
2.4	mM 			4.328709937073194																					mM 	concentration	rat	Trus1980_Etc124	Experiment98
8.6	mM 			4.32783288273969																					mM 	concentration	rat	Trus1980_Etc124	Experiment98
																													
0.0	mM 				4.1579117028432835																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
3.0	mM 				5.589222571554391																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
6.0	mM 				6.235321862182084																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
10.0	mM 				6.723760560359956																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
15.0	mM 				6.222956325519352																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
20.0	mM 				6.365159997140759																				mM	concentration	mouse	Detimary1996_Ess32	Experiment99
																													
0.0	mM 				3.592070420780206																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
3.0	mM 				4.564122184205959																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
6.0	mM 				5.769701802939298																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
10.0	mM 				6.971588369352458																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
15.0	mM 				6.838378818085462																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
20.0	mM 				6.938177786643535																				mM	concentration	mouse	Detimary1996_Ess37	Experiment100
																													
1.0	mM 				4.024948572422208																				mM 	concentration	rat	Detimary1998_Ess41	Experiment101
10.0	mM 				6.803910380040908																				mM 	concentration	rat	Detimary1998_Ess41	Experiment101
20.0	mM 				6.817900680262192																				mM 	concentration	rat	Detimary1998_Ess41	Experiment101
																													
1.0	mM 				3.52423162197609																				mM 	concentration	rat	Detimary1998_Ess46	Experiment102
5.0	mM 				6.085271998507702																				mM 	concentration	rat	Detimary1998_Ess46	Experiment102
10.0	mM 				6.698285833208966																				mM 	concentration	rat	Detimary1998_Ess46	Experiment102
20.0	mM 				6.588701139212375																				mM 	concentration	rat	Detimary1998_Ess46	Experiment102
																													
0.0	mM 				5.568597592825665																				mM 	concentration	rat	Malaisse1977_Ess122	Experiment103
11.1	mM 				6.103938737470545																				mM 	concentration	rat	Malaisse1977_Ess122	Experiment103
27.8	mM 				6.198410704172583																				mM 	concentration	rat	Malaisse1977_Ess122	Experiment103
																													
0.0	mM 				5.647086751835573																				mM 	concentration	rat	Malaisse1987_Ess132	Experiment104
16.7	mM 				6.068995532145129																				mM 	concentration	rat	Malaisse1987_Ess132	Experiment104
																													
1.0	mM 				4.674171372491492																				mM 	concentration	mouse	Detimary1996_Etc30	Experiment105
																													
1.0	mM 				5.13241288206433																				mM 	concentration	mouse	Detimary1996_Etc31	Experiment106
10.0	mM 				6.280452605683983																				mM 	concentration	mouse	Detimary1996_Etc31	Experiment106
																													
1.0	mM 				4.581643987895906																				mM 	concentration	mouse	Detimary1996_Etc38	Experiment107
10.0	mM 				6.8068054788326116																				mM 	concentration	mouse	Detimary1996_Etc38	Experiment107
																													
10.0	mM 				6.516605038623349																				mM 	concentration	mouse	Detimary1996_Etc39	Experiment108
																													
2.4	mM 				5.231416128017778																				mM 	concentration	rat	Trus1980_Etc109	Experiment109
																													
2.4	mM 				5.946754346202812																				mM 	concentration	rat	Trus1980_Etc110	Experiment110
14.5	mM 				5.975620681660911																				mM 	concentration	rat	Trus1980_Etc110	Experiment110
																													
2.4	mM 				5.231416128017779																				mM 	concentration	rat	Trus1980_Etc125	Experiment111
																													
2.4	mM 				5.752720631075143																				mM 	concentration	rat	Trus1980_Etc126	Experiment112
8.6	mM 				5.651092415136187																				mM 	concentration	rat	Trus1980_Etc126	Experiment112
																													
0.0	mM 					4.288049064256894																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
2.8	mM 					4.896172386096967																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
8.3	mM 					5.239216311237515																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
11.1	mM 					5.332773745366766																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
16.7	mM 					5.956489972895038																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
28.0	mM 					5.052101442979042																			dimensionless	ratio	rat	Ammon1998_Ess10	Experiment113
																													
0.0	mM 					3.876258337177076																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
2.8	mM 					4.99719759858002																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
8.3	mM 					5.007045057750065																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
11.1	mM 					5.150400190637398																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
16.7	mM 					5.192833787424617																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
28.0	mM 					6.320278340036845																			dimensionless	ratio	rat	Ammon1998_Ess11	Experiment114
																													
0.0	mM 					1.6862996082361632																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
3.0	mM 					2.696767077762892																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
6.0	mM 					4.59303395239422																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
10.0	mM 					5.898767890289148																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
15.0	mM 					6.554915597774036																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
20.0	mM 					8.129670095737769																			dimensionless	ratio	mouse	Detimary1996_Ess33	Experiment115
																													
0.0	mM 					1.8085098579410361																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
3.0	mM 					2.750442075618667																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
6.0	mM 					3.4663105610536604																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
10.0	mM 					5.312497707701803																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
15.0	mM 					6.668880101157543																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
20.0	mM 					9.004872000998095																			dimensionless	ratio	mouse	Detimary1996_Ess38	Experiment116
																													
1.0	mM 					1.4693076560711091																			dimensionless	ratio	rat	Detimary1998_Ess42	Experiment117
10.0	mM 					6.790928373658143																			dimensionless	ratio	rat	Detimary1998_Ess42	Experiment117
20.0	mM 					6.754140838453895																			dimensionless	ratio	rat	Detimary1998_Ess42	Experiment117
																													
1.0	mM 					1.392323576908746																			dimensionless	ratio	rat	Detimary1998_Ess47	Experiment118
5.0	mM 					3.9290988415352923																			dimensionless	ratio	rat	Detimary1998_Ess47	Experiment118
10.0	mM 					6.835829076989113																			dimensionless	ratio	rat	Detimary1998_Ess47	Experiment118
20.0	mM 					6.742568308049361																			dimensionless	ratio	rat	Detimary1998_Ess47	Experiment118
																													
1.0	mM 					3.273277101176457																			dimensionless	ratio	rat	Detimary1998_Ess48	Experiment119
3.0	mM 					3.9576695264457618																			dimensionless	ratio	rat	Detimary1998_Ess48	Experiment119
5.0	mM 					5.149084235147056																			dimensionless	ratio	rat	Detimary1998_Ess48	Experiment119
10.0	mM 					6.009093654975783																			dimensionless	ratio	rat	Detimary1998_Ess48	Experiment119
20.0	mM 					5.936700763070471																			dimensionless	ratio	rat	Detimary1998_Ess48	Experiment119
																													
0.0	mM 					4.881615388942445																			dimensionless	ratio	rat	Malaisse1977_Ess124	Experiment120
11.1	mM 					4.568943683664339																			dimensionless	ratio	rat	Malaisse1977_Ess124	Experiment120
27.8	mM 					6.295263327469599																			dimensionless	ratio	rat	Malaisse1977_Ess124	Experiment120
																													
0.0	mM 					3.421746021958144																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
1.4	mM 					4.095668064032261																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
2.8	mM 					4.219113628581919																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
4.9	mM 					4.625553141865435																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
8.3	mM 					5.266107738015491																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
11.1	mM 					5.66140831594861																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
16.7	mM 					5.971714868348119																			dimensionless	ratio	rat	Malaisse1987_Ess134	Experiment121
																													
1.0	mM 					3.112946383551889																			dimensionless	ratio	mouse	Detimary1996_Etc32	Experiment122
																													
1.0	mM 					2.66735266802495																			dimensionless	ratio	mouse	Detimary1996_Etc33	Experiment123
10.0	mM 					6.510148884671065																			dimensionless	ratio	mouse	Detimary1996_Etc33	Experiment123
																													
1.0	mM 					2.590833882689721																			dimensionless	ratio	mouse	Detimary1996_Etc40	Experiment124
10.0	mM 					6.565811894487649																			dimensionless	ratio	mouse	Detimary1996_Etc40	Experiment124
																													
10.0	mM 					6.063824874702394																			dimensionless	ratio	mouse	Detimary1996_Etc41	Experiment125
																													
10.0	mM 						0.03251921506331006																		mM 	concentration	cell line	Guay2013_Ess59	Experiment126
																													
10.0	mM 						0.03251921506331006																		mM 	concentration	cell line	Guay2013_Ess65	Experiment127
																													
16.7	mM 						0.05065678563674469																		dimensionless	fold change	cell line	Malmgren2013_Ess139	Experiment128
																													
2.8	mM 						0.018238130949552605																		mM 	concentration	rat	Miwa2000_Ess161	Experiment129
20.0	mM 						0.056686082681042534																		mM 	concentration	rat	Miwa2000_Ess161	Experiment129
																													
2.0	mM 						0.006962017136427987																		dimensionless	fold change	cell line	Huang2014_Etc44	Experiment130
																													
2.0	mM 						0.006885957776460403																		dimensionless	fold change	cell line	Huang2014_Etc45	Experiment131
16.7	mM 						0.0514151513975712																		dimensionless	fold change	cell line	Huang2014_Etc45	Experiment131
																													
2.8	mM 						0.012894759604291041																		mM 	concentration	rat	Taniguchi2000_Etc75	Experiment132
																													
2.8	mM 						0.010832246153002394																		mM 	concentration	rat	Taniguchi2000_Etc76	Experiment133
20.0	mM 						0.059360708918453124																		mM 	concentration	rat	Taniguchi2000_Etc76	Experiment133
																													
0.0	mM 							0.0028044570104112775																	mM	concentration	rat	Meglasson1986_Ess160	Experiment134
5.5	mM 							0.00381711944649531																	mM	concentration	rat	Meglasson1986_Ess160	Experiment134
10.0	mM 							0.0046819329426145105																	mM	concentration	rat	Meglasson1986_Ess160	Experiment134
16.7	mM 							0.0060476758434188935																	mM	concentration	rat	Meglasson1986_Ess160	Experiment134
27.5	mM 							0.005085816620839724																	mM	concentration	rat	Meglasson1986_Ess160	Experiment134
																													
0.0	mM 							0.0010124357698629853																	mM 	concentration	rat	Sener1984_Ess175	Experiment135
1.7	mM 							0.002276368323322444																	mM 	concentration	rat	Sener1984_Ess175	Experiment135
2.8	mM 							0.0031598313836488077																	mM 	concentration	rat	Sener1984_Ess175	Experiment135
5.6	mM 							0.0038369381087164094																	mM 	concentration	rat	Sener1984_Ess175	Experiment135
16.7	mM 							0.005255637913619955																	mM 	concentration	rat	Sener1984_Ess175	Experiment135
																													
1.10526315789474	mM 							0.00048479140612976343																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
2.76315789473684	mM 							0.001446274444142809																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
5.36842105263157	mM 							0.003948307987200516																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
8.21052631578947	mM 							0.005063155603159278																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
20.0526315789473	mM 							0.00601653886692591																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
28.1842105263157	mM 							0.007670087861868138																	mM 	concentration	rat	Sener1984_Ess176	Experiment136
																													
1.4	mM 							0.0005624933418735519																	mM 	concentration	rat	Sener1984_Etc56	Experiment137
20.0	mM 							0.007943984915933495																	mM 	concentration	rat	Sener1984_Etc56	Experiment137
																													
2.8	mM 								0.010871398626847792																mM 	concentration	rat	Miwa2000_Ess162	Experiment138
20.0	mM 								0.016741953885345974																mM 	concentration	rat	Miwa2000_Ess162	Experiment138
																													
2.8	mM 								0.008430486656857639																mM 	concentration	rat	Taniguchi2000_Etc77	Experiment139
																													
2.8	mM 								0.005482633621118431																mM 	concentration	rat	Taniguchi2000_Etc78	Experiment140
20.0	mM 								0.019170047626288222																mM 	concentration	rat	Taniguchi2000_Etc78	Experiment140
																													
16.0	mM 									0.11832586083089534															mM 	concentration	mouse	Matschinsky1968_Ess149	Experiment141
																													
2.8	mM 									0.024857773285209002															mM 	concentration	rat	Miwa2000_Ess163	Experiment142
20.0	mM 									0.14717118752965075															mM 	concentration	rat	Miwa2000_Ess163	Experiment142
																													
2.8	mM 									0.01916089332729145															mM 	concentration	rat	Taniguchi2000_Etc79	Experiment143
																													
2.8	mM 									0.013415184822672607															mM 	concentration	rat	Taniguchi2000_Etc80	Experiment144
20.0	mM 									0.1491149389904763															mM 	concentration	rat	Taniguchi2000_Etc80	Experiment144
																													
2.78	mM 										0.0351970856729769														mM 	concentration	mouse	Ashcroft1973b_Etc19	Experiment145
18.87	mM 										0.05993017290263634														mM 	concentration	mouse	Ashcroft1973b_Etc19	Experiment145
																													
2.78	mM 										0.037249226242230336														mM 	concentration	rat	Ashcroft1973b_Etc21	Experiment146
18.87	mM 										0.05813136822651097														mM 	concentration	rat	Ashcroft1973b_Etc21	Experiment146
																													
4.0	mM 										0.031328922573155824														mM 	concentration	rat	Trus1979_Etc89	Experiment147
																													
4.0	mM 										0.030896063328292603														mM 	concentration	rat	Trus1979_Etc90	Experiment148
16.0	mM 										0.061616080711694485														mM 	concentration	rat	Trus1979_Etc90	Experiment148
																													
2.4	mM 										0.014315707956536326														mM 	concentration	rat	Trus1980_Etc99	Experiment149
																													
2.4	mM 										0.012105166552076508														mM 	concentration	rat	Trus1980_Etc100	Experiment150
14.5	mM 										0.06502647160666722														mM 	concentration	rat	Trus1980_Etc100	Experiment150
																													
2.4	mM 										0.014315707956536325														mM 	concentration	rat	Trus1980_Etc115	Experiment151
																													
2.4	mM 										0.014307999220494343														mM 	concentration	rat	Trus1980_Etc116	Experiment152
8.6	mM 										0.049442282403556165														mM 	concentration	rat	Trus1980_Etc116	Experiment152
																													
0.0	mM 											0.13214003049224074													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
5.55	mM 											0.16106434602313202													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
11.1	mM 											0.19523303448523724													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
16.65	mM 											0.232897108509988													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
22.2	mM 											0.27405592080376157													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
27.75	mM 											0.3191438053873981													mM 	concentration	rat	Akhtar1977_Ess0	Experiment153
																													
0.0	mM 											0.11601607593888205													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
5.55	mM 											0.1394161087625942													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
11.1	mM 											0.19961732340700333													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
16.65	mM 											0.271902641801312													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
22.2	mM 											0.2826684796875867													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
27.75	mM 											0.2934343175738614													mM 	concentration	rat	Akhtar1977_Ess1	Experiment154
																													
0.0	mM 											0.017112505007246984													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
1.08	mM 											0.029091258512319938													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
1.46	mM 											0.031658134263407													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
2.26	mM 											0.039358761516668166													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
3.07	mM 											0.04449251301884223													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
4.09	mM 											0.05647126652391504													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
4.85	mM 											0.07101689578007507													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
5.28	mM 											0.10096377954275729													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
6.79	mM 											0.12406566130254108													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
7.39	mM 											0.15572379556594798													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
9.66	mM 											0.20962818633877614													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
11.38	mM 											0.22674069134602337													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
13.54	mM 											0.26182132661087965													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
16.01	mM 											0.28235633261957627													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
18.16	mM 											0.2960463366253738													mM 	concentration	mouse	Ashcroft1970_Ess21	Experiment155
																													
0.0	mM 											0.09033328315441846													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
2.8	mM 											0.15572379409455703													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
5.6	mM 											0.1611168259246718													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
8.3	mM 											0.1954974038416518													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
11.1	mM 											0.22381082094975305													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
16.7	mM 											0.2399899164400968													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
27.8	mM 											0.2709998494632554													mM 	concentration	rat	Giriox1984_Ess51	Experiment156
																													
2.8	mM 											0.1474683882909241													mM 	concentration	rat	Liu1998_Ess86	Experiment157
8.3	mM 											0.18996356707801718													mM 	concentration	rat	Liu1998_Ess86	Experiment157
27.7	mM 											0.3060664662641821													mM 	concentration	rat	Liu1998_Ess86	Experiment157
																													
5.5	mM 											0.19809895488078832													mM 	concentration	rat	Liu2004_Ess93	Experiment158
16.7	mM 											0.2048780065687241													mM 	concentration	rat	Liu2004_Ess93	Experiment158
																													
16.7	mM 											0.26043376193451556													dimensionless	fold change	cell line	Malmgren2013_Ess140	Experiment159
																													
3.96266362280685	mM 											0.10573149475357115													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
5.53123331553656	mM 											0.10558289110669239													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
6.47384796656663	mM 											0.10928312191395015													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
10.9115010033691	mM 											0.22633821455961106													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
15.9132499953973	mM 											0.18038996694498874													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
18.0009941638897	mM 											0.3052467510517349													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
22.0645470110646	mM 											0.26696645161600796													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
26.0581401771084	mM 											0.4522751992726535													mM 	concentration	mouse	Matschinsky1968_Ess146	Experiment160
																													
16.0	mM 											0.25408006094197033													mM 	concentration	mouse	Matschinsky1968_Ess150	Experiment161
																													
2.8	mM 											0.09220774402266088													mM 	concentration	rat	Miwa2000_Ess164	Experiment162
20.0	mM 											0.31604028294790437													mM 	concentration	rat	Miwa2000_Ess164	Experiment162
																													
16.7	mM 											0.26043376193451556													dimensionless	fold change	cell line	Spegel2015_Ess179	Experiment163
																													
2.78	mM 											0.09734669889403987													mM 	concentration	mouse	Ashcroft1973b_Etc20	Experiment164
18.87	mM 											0.3017747665715236													mM 	concentration	mouse	Ashcroft1973b_Etc20	Experiment164
																													
2.78	mM 											0.1261247168695038													mM 	concentration	rat	Ashcroft1973b_Etc22	Experiment165
18.87	mM 											0.2774743771129084													mM 	concentration	rat	Ashcroft1973b_Etc22	Experiment165
																													
2.0	mM 											0.10936113755727518													dimensionless	fold change	cell line	Huang2014_Etc46	Experiment166
																													
2.0	mM 											0.09305518457721622													dimensionless	fold change	cell line	Huang2014_Etc47	Experiment167
16.7	mM 											0.27596436707359484													dimensionless	fold change	cell line	Huang2014_Etc47	Experiment167
																													
2.8	mM 											0.13203481444538115													dimensionless	fold change	cell line	Spegel2015_Etc65	Experiment168
16.7	mM 											0.2489115535163672													dimensionless	fold change	cell line	Spegel2015_Etc65	Experiment168
																													
2.8	mM 											0.126959334282613													dimensionless	fold change	cell line	Spegel2015_Etc68	Experiment169
16.7	mM 											0.2539186685652171													dimensionless	fold change	cell line	Spegel2015_Etc68	Experiment169
																													
2.8	mM 											0.11394816492889133													mM 	concentration	rat	Taniguchi2000_Etc81	Experiment170
																													
2.8	mM 											0.0803281716592827													mM 	concentration	rat	Taniguchi2000_Etc82	Experiment171
20.0	mM 											0.32378432268818563													mM 	concentration	rat	Taniguchi2000_Etc82	Experiment171
																													
4.0	mM 											0.12347691175123496													mM 	concentration	rat	Trus1979_Etc91	Experiment172
																													
4.0	mM 											0.09584578018939381													mM 	concentration	rat	Trus1979_Etc92	Experiment173
16.0	mM 											0.2889402029128186													mM 	concentration	rat	Trus1979_Etc92	Experiment173
																													
2.4	mM 											0.10620287029439009													mM 	concentration	rat	Trus1980_Etc101	Experiment174
																													
2.4	mM 											0.0821910400351113													mM 	concentration	rat	Trus1980_Etc102	Experiment175
14.5	mM 											0.2742413910082409													mM 	concentration	rat	Trus1980_Etc102	Experiment175
																													
2.4	mM 											0.1062028702943901													mM 	concentration	rat	Trus1980_Etc117	Experiment176
																													
2.4	mM 											0.08726461108516041													mM 	concentration	rat	Trus1980_Etc118	Experiment177
8.6	mM 											0.1982893885548945													mM 	concentration	rat	Trus1980_Etc118	Experiment177
																													
16.7	mM 												18.226962289099003												dimensionless	fold change	cell line	Malmgren2013_Ess141	Experiment178
																													
0.62646525679758	mM 												0.7994330700127188												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
1.40954682779456	mM 												1.7987244075286097												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
2.03601208459214	mM 												2.598157477541329												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
3.75096079938507	mM 												3.190262483960177												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
5.16333589546502	mM 												5.569155326566976												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
6.56033820138354	mM 												4.794596406182419												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
10.6245196003074	mM 												8.382107920597234												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
16.7428900845503	mM 												18.29646210151952												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
17.8583781706379	mM 												23.628648411850055												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
21.9158339738662	mM 												25.836524779956086												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
25.0211375864719	mM 												24.29047449926775												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
25.8368562644119	mM 												31.98468207176101												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
25.9021906225979	mM 												45.386852064474404												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
30.8954650269023	mM 												47.9981125831966												mM 	concentration	mouse	Matschinsky1968_Ess145	Experiment179
																													
16.0	mM 												17.092679261401045												mM 	concentration	mouse	Matschinsky1968_Ess151	Experiment180
																													
20.0	mM 												24.79400265752527												mM 	concentration	rat	Matschinsky1976_Ess155	Experiment181
																													
10.0	mM 												7.830839440103066												mM 	concentration	rat	Matschinsky1976_Ess157	Experiment182
																													
2.8	mM 													0.0035693796939330587											mM 	concentration	rat	Miwa2000_Ess165	Experiment183
20.0	mM 													0.014991394714520477											mM 	concentration	rat	Miwa2000_Ess165	Experiment183
																													
2.8	mM 													0.0030569454833469637											mM 	concentration	rat	Taniguchi2000_Etc83	Experiment184
																													
2.8	mM 													0.0025334422335874488											mM 	concentration	rat	Taniguchi2000_Etc84	Experiment185
20.0	mM 													0.015200653401524693											mM 	concentration	rat	Taniguchi2000_Etc84	Experiment185
																													
1.0	mM 														1.200338645174587										mM 	concentration	cell line	Guay2013_Ess60	Experiment186
10.0	mM 														1.2883215825172267										mM 	concentration	cell line	Guay2013_Ess60	Experiment186
																													
1.0	mM 														1.0583016947254476										mM 	concentration	cell line	Guay2013_Ess66	Experiment187
10.0	mM 														1.499260734194384										mM 	concentration	cell line	Guay2013_Ess66	Experiment187
																													
3.0	mM 														1.5407152524710066										mM 	concentration	rat	Hedeskov1987_Ess70	Experiment188
20.0	mM 														1.5961366644303954										mM 	concentration	rat	Hedeskov1987_Ess70	Experiment188
																													
3.0	mM 														0.2129601162619314										dimensionless	fold change	cell line	Malinowski2020_Ess136	Experiment189
7.0	mM 														1.595998436373723										dimensionless	fold change	cell line	Malinowski2020_Ess136	Experiment189
11.7	mM 														1.7271000404428876										dimensionless	fold change	cell line	Malinowski2020_Ess136	Experiment189
17.0	mM 														1.7868192878955864										dimensionless	fold change	cell line	Malinowski2020_Ess136	Experiment189
35.0	mM 														2.738859278396276										dimensionless	fold change	cell line	Malinowski2020_Ess136	Experiment189
																													
16.7	mM 														2.104830920358944										dimensionless	fold change	cell line	Malmgren2013_Ess142	Experiment190
																													
16.7	mM 														2.104830920358944										dimensionless	fold change	cell line	Spegel2015_Ess180	Experiment191
																													
2.0	mM 														1.0653012121190946										dimensionless	fold change	cell line	Huang2014_Etc48	Experiment192
																													
2.0	mM 														0.768060128088166										dimensionless	fold change	cell line	Huang2014_Etc49	Experiment193
16.7	mM 														2.2649936430355164										dimensionless	fold change	cell line	Huang2014_Etc49	Experiment193
																													
2.8	mM 														0.9355435824154482										dimensionless	fold change	cell line	Spegel2013_Etc57	Experiment194
16.7	mM 														2.1567920911972807										dimensionless	fold change	cell line	Spegel2013_Etc57	Experiment194
																													
2.8	mM 														1.097569823995113										dimensionless	fold change	cell line	Spegel2015_Etc66	Experiment195
16.7	mM 														2.0193958393142606										dimensionless	fold change	cell line	Spegel2015_Etc66	Experiment195
																													
2.8	mM 														0.46263251028229946										dimensionless	fold change	cell line	Spegel2015_Etc69	Experiment196
16.7	mM 														2.379252910023442										dimensionless	fold change	cell line	Spegel2015_Etc69	Experiment196
																													
1.67	mM 															0.5924635617553297									mM 	concentration	rat	Ammon1979_Ess4	Experiment197
11.1	mM 															0.8711841043545122									mM 	concentration	rat	Ammon1979_Ess4	Experiment197
																													
8.3	mM 															0.7766671686557212									mM 	concentration	rat	Ammon1998_Ess12	Experiment198
11.1	mM 															0.8150495477092682									mM 	concentration	rat	Ammon1998_Ess12	Experiment198
16.7	mM 															0.8068891456787493									mM 	concentration	rat	Ammon1998_Ess12	Experiment198
28.0	mM 															0.9070149113255435									mM 	concentration	rat	Ammon1998_Ess12	Experiment198
																													
2.8	mM 															0.7605313600966718									mM 	concentration	rat	Ammon1998_Ess16	Experiment199
8.3	mM 															0.8394012789215124									mM 	concentration	rat	Ammon1998_Ess16	Experiment199
11.1	mM 															0.7818264936698838									mM 	concentration	rat	Ammon1998_Ess16	Experiment199
16.7	mM 															0.816424203381148									mM 	concentration	rat	Ammon1998_Ess16	Experiment199
28.0	mM 															0.8279809335327991									mM 	concentration	rat	Ammon1998_Ess16	Experiment199
